n,m,bf,fw,dp,df
10,45,6.59397,760.49,72.1348,2.42498
10,45,2.27475,478.195,55.8416,2.26228
10,45,2.05712,436.145,57.3921,2.22898
10,45,2.15924,343.528,55.7453,2.18317
10,45,2.06761,342.739,56.0379,2.13588
10,45,2.00221,359.182,55.511,2.2457
10,45,2.16568,351.368,55.3438,2.16879
10,45,2.09241,355.223,54.9034,2.22354
10,45,2.08512,354.303,55.4335,2.25349
10,45,2.0149,372.168,54.682,2.19146
10,45,2.82475,351.047,86.1077,2.83181
10,45,2.68117,345.333,94.2557,2.91627
10,45,2.75369,373.2,88.2573,2.91643
10,45,2.76916,355.285,87.5803,2.90677
10,45,2.7372,376.069,87.5979,2.81735
10,45,2.76087,361.359,87.2859,2.61674
10,45,2.52826,353.644,88.1661,2.81123
10,45,2.67942,358.097,84.0204,3.19396
10,45,3.09002,369.781,85.9918,2.87474
10,45,2.77232,351.196,86.5698,3.05414
10,45,3.74224,340.259,280.835,2.86524
10,45,3.94961,426.658,255.091,2.81969
10,45,2.67027,341.149,253.819,2.86055
10,45,2.63247,342.314,252.342,4.08052
10,45,2.65151,355.972,255.037,2.76599
10,45,2.64701,350.479,254.927,3.05796
10,45,2.79257,354.242,254.982,3.03261
10,45,2.72642,341.09,261.406,2.95113
10,45,2.69411,353.744,262.708,3.11822
10,45,2.80542,342.219,254.687,2.99858
10,45,2.65338,340.871,65.4333,2.12835
10,45,2.76456,361.058,61.483,2.40214
10,45,3.06866,415.45,60.495,2.08198
10,45,2.5901,378.067,69.1096,2.10409
10,45,3.59744,358.342,61.7777,2.14326
10,45,2.65885,415.482,62.2412,2.22109
10,45,2.6347,343.499,63.6462,2.11237
10,45,2.65158,353.254,62.7793,2.03159
10,45,2.63899,332.694,61.4986,2.01661
10,45,2.54314,337.828,61.651,2.03583
10,45,1.83999,348.559,52.0522,2.21671
10,45,1.7883,363.087,50.9847,2.22575
10,45,1.86436,377.918,64.1811,3.62955
10,45,4.54682,475.198,53.5576,2.19014
10,45,1.85971,374.114,51.7986,2.30219
10,45,1.86852,358.507,52.8226,2.37299
10,45,1.92903,350.553,51.5376,2.32346
10,45,2.05597,366.375,52.4963,2.29896
10,45,1.93129,348.122,51.6731,2.17408
10,45,1.77946,345.585,52.6266,2.14152
10,45,3.19433,364.821,132.626,2.47654
10,45,3.10966,441.166,162.106,4.42897
10,45,3.19006,391.353,137.09,2.43897
10,45,3.08181,434.706,136.613,2.56291
10,45,3.16371,510.145,139.592,2.52951
10,45,3.09794,376.114,139.361,2.54664
10,45,3.17915,537.573,138.419,2.59752
10,45,3.13649,384.999,135.498,2.64092
10,45,3.25644,398.084,142.4,3.22728
10,45,3.33248,585.232,146.091,2.53837
10,45,2.8669,409.998,50.0816,2.96466
10,45,3.29969,366.205,48.5813,2.99606
10,45,2.92583,355.308,48.6461,2.57951
10,45,2.71302,391.902,49.5102,4.14723
10,45,2.90089,379.375,49.1842,3.99444
10,45,2.82423,351.018,49.6548,2.78662
10,45,2.91985,358.389,47.8507,3.00236
10,45,2.92463,361.277,48.063,2.80214
10,45,3.06407,345.054,48.2262,2.82145
10,45,2.98703,348.958,47.3748,2.82501
10,45,2.54979,354.723,61.2483,4.58783
10,45,2.60782,359.778,61.1789,2.97437
10,45,2.50392,340.197,60.2835,2.94065
10,45,2.48503,339.419,60.2912,3.07689
10,45,2.60397,353.059,60.5833,3.35286
10,45,2.61564,357.643,59.8409,3.07745
10,45,2.57255,571.551,75.8047,2.94283
10,45,2.56472,403.47,64.2789,2.86667
10,45,2.61811,411.984,63.704,2.91349
10,45,2.44111,387.062,60.5164,2.8925
10,45,2.35957,468.602,94.2026,3.33194
10,45,2.89325,507.458,73.4144,2.41337
10,45,2.30337,355.834,71.9413,3.97054
10,45,3.25282,358.05,74.6962,2.59936
10,45,2.40636,370.573,73.8084,2.7326
10,45,2.4672,343.781,72.7736,3.68181
10,45,2.28709,341.415,73.0658,2.47507
10,45,2.4056,336.525,72.296,2.38322
10,45,2.29086,360.514,72.8787,2.57046
10,45,2.57372,345.614,74.6043,2.66328
10,45,1.87007,373.007,41.874,2.09999
10,45,1.76752,346.419,41.8207,2.22052
10,45,2.00497,349.681,40.7732,2.14992
10,45,1.83074,392.177,42.288,2.27029
10,45,1.92132,342.63,41.4999,2.0773
10,45,1.82956,362.706,42.1632,2.1575
10,45,1.83291,349.563,41.8953,2.21407
10,45,1.73077,346.246,43.4637,2.19185
10,45,1.79974,375.2,44.6479,2.2072
10,45,1.72702,379.199,42.2155,2.22832
12,66,9.42375,774.959,307.495,7.33383
12,66,7.72426,776.029,302.412,7.50798
12,66,7.86395,733.535,304.518,7.49371
12,66,7.97395,754.323,301.43,7.56515
12,66,8.8778,719.63,313.086,7.42376
12,66,6.84716,747.5,300.338,7.45982
12,66,7.85309,689.722,303.504,7.57079
12,66,7.86499,760.771,312.849,7.68727
12,66,7.99434,715.221,297.731,7.18504
12,66,7.97753,712.464,310.719,6.34853
12,66,5.71334,753.695,237.051,5.38456
12,66,5.68205,716.505,267.379,6.15703
12,66,6.68513,735.307,240.3,5.26833
12,66,5.98008,730.758,260.191,6.74793
12,66,6.93442,777.328,248.968,5.52647
12,66,6.25157,708.744,246.758,5.72688
12,66,6.21878,752.598,242.564,5.82674
12,66,6.41994,714.947,241.804,10.036
12,66,6.15845,747.523,237.987,4.76126
12,66,9.94126,737.025,244.527,5.02486
12,66,4.6869,693.957,138.6,5.91455
12,66,5.28711,699.271,128.322,4.91837
12,66,4.32433,754.947,130.662,4.96803
12,66,4.4558,807.007,133.11,4.98389
12,66,5.29841,729.945,135.217,5.78807
12,66,4.98478,792.656,142.288,4.7879
12,66,4.21779,788.31,130.557,4.83666
12,66,4.54904,833.584,133.618,7.8026
12,66,4.87173,787.849,143.785,5.00685
12,66,4.67422,781.127,127.892,5.13509
12,66,4.97234,751.203,204.721,5.26696
12,66,4.99133,726.361,193.828,5.13303
12,66,5.18777,790.105,199.924,5.39655
12,66,5.07103,721.906,196.322,5.00581
12,66,4.96854,763.395,240.347,6.90671
12,66,7.1814,832.057,218.8,5.13318
12,66,4.95196,819.337,220.693,8.12972
12,66,6.20529,1501.01,268.27,5.25799
12,66,5.35213,1323.56,271.722,4.98174
12,66,12.9488,1665.84,446.026,24.7768
12,66,21.8598,1826.47,651.995,7.56374
12,66,6.24574,1671.52,794.72,10.8016
12,66,16.2782,1580.85,590.339,9.53946
12,66,10.3096,1123.32,558.935,9.46675
12,66,9.86933,1319.77,485.694,4.94933
12,66,15.5106,1202.26,486.048,9.21917
12,66,6.76526,1449.11,512.528,10.7054
12,66,6.77598,1287.28,530.55,14.5449
12,66,15.4612,1704.03,465.173,11.6939
12,66,5.74254,1256.66,618.797,5.47868
12,66,5.8249,1106.67,216.611,5.21245
12,66,5.28103,805.004,229.755,5.53541
12,66,6.04927,845.616,232.325,5.56337
12,66,5.61299,914.212,250.877,8.25217
12,66,5.39481,802.173,292.074,13.264
12,66,7.00988,994.445,282.177,6.08082
12,66,6.72517,1241.22,333.603,11.5729
12,66,16.2377,1106.64,262.919,14.0458
12,66,13.5778,1181.03,230.802,6.50923
12,66,11.5666,1579.26,398.125,13.8866
12,66,14.0873,1051.99,294.557,6.26513
12,66,12.1234,1347.82,217.393,5.91439
12,66,6.01821,870.671,361.115,12.6244
12,66,15.2772,1716.73,468.01,14.7122
12,66,15.1507,1545.15,368.083,5.73459
12,66,13.92,1041.77,210.702,6.11094
12,66,6.24508,1356.05,365.292,13.0891
12,66,8.16373,894.515,222.003,6.91287
12,66,7.07027,1133.5,229.409,6.57312
12,66,5.49394,1387.18,436.536,25.4328
12,66,17.4035,928.074,286.224,5.64826
12,66,3.71702,1357.98,530.738,16.7033
12,66,18.8435,764.883,289.914,6.24705
12,66,4.0334,1437.13,325.903,5.20623
12,66,13.3581,1031.8,292.612,4.98808
12,66,3.55621,1051.57,713.095,10.8708
12,66,5.99721,853.344,259.423,6.64838
12,66,3.50121,829.522,273.593,5.42123
12,66,3.81748,814.774,284.195,5.91472
12,66,5.59624,943.023,277.013,5.24125
12,66,5.14601,726.491,166.281,6.75364
12,66,6.18473,785.447,161.023,5.49528
12,66,5.99884,733.858,157.151,5.48633
12,66,5.74958,986.795,197.515,5.79924
12,66,7.09487,960.392,167.401,6.18295
