n,m,bf,fw,dp,df
12,11,0.946941,725.245,52.5239,0.868665
12,11,0.947738,643.594,51.4814,0.835751
12,11,1.10563,750.605,52.0434,1.01271
12,11,0.911436,638.561,50.3635,0.89871
12,11,1.01416,633.298,49.2876,0.807428
12,11,0.913082,612.732,50.053,0.802075
12,11,0.895511,651.077,50.6115,0.813782
12,11,0.905682,611.809,49.1545,0.926785
12,11,0.978716,634.746,49.2479,0.815446
12,11,1.05872,840.08,46.4939,0.988287
12,11,1.17731,787.98,46.1409,1.14922
12,11,1.34984,777.93,47.5297,0.962189
12,11,1.12645,980.204,46.2706,1.00161
12,11,1.1162,632.563,45.6158,0.996825
12,11,1.10321,646.181,46.9031,0.998465
12,11,1.0901,639.881,44.9877,1.48135
12,11,1.14629,617.539,44.9088,0.983417
12,11,1.11405,665.84,45.3227,0.987735
12,11,1.10923,677.544,45.296,0.975637
12,11,1.06996,673.394,25.7651,0.768657
12,11,1.14103,674.427,25.779,0.759772
12,11,1.06451,670.962,25.9806,0.768258
12,11,1.06531,671.716,26.9349,0.76493
12,11,1.13038,686.576,26.1641,0.803824
12,11,1.06916,684.857,26.9967,1.03636
12,11,1.127,650.306,25.9981,0.783829
12,11,1.12927,685.615,25.8696,0.766526
12,11,1.10843,663.149,26.0001,0.768504
12,11,1.10288,638.25,27.0369,0.822833
12,11,2.17425,706.215,74.468,1.80634
12,11,2.10005,668.356,75.0016,1.88294
12,11,2.13648,685.804,76.3402,1.85707
12,11,2.08849,680.924,75.0775,1.87188
12,11,2.11361,655.985,74.1571,1.85982
12,11,2.10673,685.225,81.1787,2.05984
12,11,2.21726,727.118,75.4762,1.82465
12,11,2.0283,680.722,75.8267,1.81976
12,11,2.06973,690.029,78.3329,1.8812
12,11,2.12517,724.529,79.5818,1.96105
12,11,1.04691,675.364,39.1229,0.951421
12,11,1.16016,680.368,41.3777,0.832925
12,11,1.08744,692.222,37.7701,0.822099
12,11,1.02071,691.788,38.6164,0.837042
12,11,1.05735,690.665,38.5038,0.944911
12,11,1.17905,708.66,38.4994,0.842367
12,11,1.07997,676.678,38.0199,0.819154
12,11,1.02042,696.363,38.5717,0.893964
12,11,1.05777,693.431,38.844,0.828763
12,11,1.03835,678.875,38.0175,0.85987
12,11,0.859328,630.443,22.1659,0.787221
12,11,0.932601,689.203,21.2938,0.776612
12,11,0.9875,672.392,22.8048,0.860375
12,11,0.939375,652.925,20.977,0.741563
12,11,0.898056,670.175,20.9233,0.736354
12,11,0.86808,718.808,22.3839,0.979256
12,11,1.2988,730.761,22.0626,0.738738
12,11,0.976512,703.718,21.5167,0.757641
12,11,0.891826,672.833,21.5193,0.734447
12,11,0.872052,762.174,21.9093,0.815444
12,11,1.10971,730.702,31.1551,0.79936
12,11,1.1475,761.472,29.5874,0.755789
12,11,1.09852,730.75,28.9134,0.762126
12,11,1.12671,754.089,31.089,0.766727
12,11,1.11875,756.629,29.9789,0.753658
12,11,1.1394,653.474,29.0944,0.853328
12,11,1.28156,703.223,30.3983,0.796744
12,11,1.25092,678.376,28.6474,0.750671
12,11,1.13456,742.362,29.5395,0.771468
12,11,1.12546,682.803,29.2612,0.754356
12,11,1.781,700.144,67.5999,1.44025
12,11,1.84742,833.365,67.2593,1.49768
12,11,1.91957,764.659,69.5478,1.57224
12,11,1.87389,766.398,69.8486,1.56466
12,11,2.16449,1270.47,122.074,1.81524
12,11,1.8136,1135.96,117.258,5.89571
12,11,1.91597,1380.83,83.3933,1.9012
12,11,2.3749,1811.18,99.9692,1.50673
12,11,1.80099,1674.18,78.8702,1.88886
12,11,1.8444,1409.9,76.5286,2.09268
14,13,1.75676,2609.53,126.679,2.3718
14,13,1.74984,1877.79,102.453,1.64958
14,13,1.74207,1929.68,89.9735,2.50559
