n,m,bf,fw,dp,df
10,22,1.11312,317.765,29.3316,1.29452
10,22,0.984496,313.921,29.6089,1.36406
10,22,1.09563,320.043,29.2378,1.29098
10,22,0.983283,310.96,29.2948,1.27898
10,22,0.980365,305.318,30.2579,1.30239
10,22,0.966691,318.363,29.4018,1.27174
10,22,0.985268,304.022,29.2157,1.28242
10,22,1.03151,304.901,30.0382,1.27312
10,22,0.972018,352.27,29.7765,1.26638
10,22,0.957875,308.784,29.1573,1.31447
10,22,1.58983,372.452,62.9153,1.25266
10,22,1.66317,328.108,65.3761,1.29703
10,22,1.57589,398.001,65.5918,1.27521
10,22,1.6441,323.481,64.3052,2.38068
10,22,2.44473,342.053,67.166,1.29525
10,22,1.63802,398.444,76.2434,1.98451
10,22,2.45748,336.365,65.9204,1.36966
10,22,1.60058,330.361,65.4851,1.30896
10,22,1.62883,313.528,64.5125,1.84309
10,22,1.85734,310.164,63.3376,1.27747
10,22,1.47048,316.916,42.8881,1.51964
10,22,1.43082,338.067,43.2282,1.52307
10,22,1.44157,371.631,44.1074,1.52525
10,22,1.4314,317.197,40.6795,1.52495
10,22,1.42038,314.779,49.6943,1.62235
10,22,1.42137,334.35,42.4303,1.57155
10,22,1.45575,314.406,40.5307,1.53603
10,22,1.53505,311.422,41.6737,1.54068
10,22,1.49526,317.81,41.2068,2.20033
10,22,1.45277,314.067,41.1799,1.60247
10,22,1.39962,314.412,45.3922,1.36364
10,22,1.47815,322.416,44.1121,1.3761
10,22,1.41287,326.863,44.0695,1.36543
10,22,1.45645,311.175,45.9924,1.43218
10,22,2.04184,664.882,53.8657,1.39869
10,22,1.44188,665.849,53.5322,1.35489
10,22,1.48828,703.194,73.1217,1.54042
10,22,1.47354,353.912,51.998,1.38932
10,22,1.44149,415.721,45.2927,1.49196
10,22,1.50058,339.386,44.9076,1.41343
10,22,1.40307,346.357,40.2317,1.74602
10,22,1.3376,355.245,43.2719,1.827
10,22,1.3833,349.461,39.0808,1.76249
10,22,1.42567,350.688,41.4328,1.68518
10,22,1.44685,343.016,42.748,1.66281
10,22,1.33426,366.443,41.661,1.72943
10,22,1.29654,342.036,41.2281,2.40445
10,22,1.29059,342.878,41.2922,1.86115
10,22,1.27834,354.458,41.8104,3.3209
10,22,1.55784,338.241,39.8003,1.75605
10,22,2.48152,338.682,54.7404,1.90166
10,22,2.40885,352.996,53.5638,1.98263
10,22,2.36203,339.441,49.4927,1.83822
10,22,2.31144,349.21,50.2319,1.76144
10,22,2.24531,358.8,48.9259,1.92976
10,22,2.46352,365.29,53.3136,1.90306
10,22,2.35718,342.861,52.0366,2.00034
10,22,2.30077,342.92,50.9355,3.26012
10,22,2.47768,380.576,61.2274,3.0916
10,22,3.24287,442.1,51.3124,1.85986
10,22,1.8089,333.277,50.8033,1.80205
10,22,1.8687,325.562,49.9104,1.80141
10,22,1.9296,334.221,48.2801,1.95585
10,22,2.00398,344.379,49.2403,1.8611
10,22,1.89172,336.414,48.8272,1.82834
10,22,1.86789,347.098,49.5962,1.77098
10,22,1.82928,327.253,51.1533,1.76455
10,22,1.85122,341.069,50.0262,1.80905
10,22,1.78479,335.77,50.8053,1.74878
10,22,2.01552,335.445,50.1235,1.77228
10,22,1.4492,347.147,26.5699,2.87951
10,22,1.47585,354.92,26.5343,1.71598
10,22,1.54648,331.837,26.5758,1.63874
10,22,1.56302,333.111,29.1626,1.7267
10,22,1.47376,362.841,26.9943,1.84167
10,22,2.16465,424.222,27.038,1.6776
10,22,1.50922,360.094,26.8068,1.71312
10,22,1.54568,390.036,27.2431,1.70873
10,22,1.62525,346.975,29.1867,1.64943
10,22,1.52411,387.078,26.4753,1.66974
10,22,1.65489,350.514,37.3201,1.79231
10,22,1.7218,349.821,37.7888,1.66502
10,22,1.61428,337.316,36.0528,1.78378
10,22,1.85144,344.436,36.6737,1.75278
