n,m,bf,fw,dp,df
10,22,1.08144,285.994,4.87348,1.00202
10,22,1.03336,283.131,4.99468,0.994972
10,22,1.02827,302.645,5.0465,1.03771
10,22,1.0851,283.497,4.86614,0.99047
10,22,1.02887,291.624,5.03954,1.04033
10,22,1.07576,286.618,4.8994,0.994037
10,22,1.05713,284.118,4.86118,0.991298
10,22,1.04478,286.84,5.7069,1.48825
10,22,1.30261,301.55,5.05537,1.03866
10,22,1.07523,284.684,4.88323,1.04927
10,22,1.45825,343.81,6.64037,1.67494
10,22,1.49287,306.48,6.47766,1.63982
10,22,1.50345,309.509,7.65742,1.72642
10,22,1.52531,367.013,6.68148,1.71708
10,22,1.53369,318.506,7.43752,3.3366
10,22,2.8061,336.419,6.67216,1.68254
10,22,1.53482,307.717,6.53481,1.68368
10,22,1.49704,316.647,6.6993,1.71414
10,22,1.53794,298.14,6.56491,1.67731
10,22,1.50879,308.004,6.68307,1.71642
10,22,1.73803,334.548,8.74977,1.81129
10,22,1.99046,300.408,6.83887,1.68763
10,22,1.64036,295.04,6.7999,1.65939
10,22,1.70456,296.878,7.21953,1.77118
10,22,1.72416,295.253,7.06134,1.78838
10,22,1.72506,296.294,7.12197,1.7474
10,22,1.68319,294.935,7.02489,1.7249
10,22,1.74135,298.789,7.07727,1.75685
10,22,1.72119,296.141,7.08425,1.76219
10,22,1.73703,296.863,7.08937,1.7578
10,22,1.09319,292.126,4.48779,1.16412
10,22,1.05282,293.478,4.51726,1.19227
10,22,1.05965,292.005,4.53271,1.1639
10,22,1.05101,297.257,4.64929,1.1871
10,22,1.0773,293.139,4.48579,1.19489
10,22,1.05287,297.766,4.58448,1.16839
10,22,1.05598,291.425,4.58737,1.1622
10,22,1.05239,299.144,4.47816,1.15991
10,22,1.05173,298.328,4.57188,1.16204
10,22,1.09139,292.489,4.52027,1.16273
10,22,1.38782,291.303,4.38343,1.09422
10,22,1.34443,313.536,4.4377,1.0829
10,22,1.37631,293.937,4.40582,1.07023
10,22,1.41033,294.465,4.43385,1.10778
10,22,1.36021,340.896,4.47265,1.09751
10,22,1.37525,325.777,4.48639,1.10785
10,22,1.3753,295.508,4.43381,1.06811
10,22,1.3784,295.456,4.3936,1.06548
10,22,1.34506,300.464,4.74176,1.13316
10,22,1.42022,342.042,4.43769,1.09123
10,22,0.663178,331.559,4.12062,1.02733
10,22,0.664349,308.465,4.10449,1.00952
10,22,0.661112,309.885,4.1006,1.00955
10,22,0.662957,300.53,4.10284,1.01381
10,22,0.661507,309.895,4.10691,1.01144
10,22,0.660853,354.868,4.07493,0.985855
10,22,0.683239,299.106,4.03797,0.986637
10,22,0.647086,304.201,4.09839,1.00894
10,22,0.663464,328.492,4.20381,1.03473
10,22,0.664203,310.743,4.18541,1.024
10,22,2.27554,312.955,6.2561,2.04752
10,22,2.23371,313.931,6.25792,2.0457
10,22,2.22389,346.614,9.86663,2.26337
10,22,2.23567,312.675,6.23145,2.0508
10,22,2.31046,384.539,6.28314,2.05622
10,22,2.23432,332.693,6.65265,2.65063
10,22,2.30898,354.699,6.37862,2.22144
10,22,2.21842,369.536,6.56916,2.05829
10,22,2.46915,329.703,6.39971,2.03845
10,22,2.23705,336.093,6.16006,1.97867
10,22,2.14983,348.299,7.43922,1.90964
10,22,2.10237,323.999,7.40784,1.91126
10,22,2.08797,335.798,7.86328,1.8736
10,22,2.1218,384.828,7.86437,2.04985
10,22,2.06342,328.797,7.5434,1.89291
10,22,2.10022,321.634,9.05392,2.30371
10,22,2.89107,360.633,8.28514,2.15172
10,22,2.23073,340.416,8.17168,2.30355
10,22,2.2387,340.465,8.30276,2.24527
10,22,2.34897,345.417,8.11122,2.12154
10,22,1.42613,331.676,6.98862,1.76118
10,22,1.48978,334.675,7.00025,1.76825
10,22,1.40992,334.267,6.91385,1.80848
10,22,1.41542,333.731,7.02492,1.74338
10,22,1.36634,333.36,6.83458,1.79129
10,22,1.41874,332.172,7.11381,1.67283
10,22,1.4097,331.467,6.89403,1.77252
10,22,1.41413,332.065,6.94534,1.76388
10,22,1.423,333.341,6.97274,1.72312
10,22,1.43752,334.326,6.89529,1.70865
10,22,1.31472,327.185,5.98121,1.25162
10,22,1.29508,336.498,6.04362,1.29905
10,22,1.28238,326.308,6.15302,1.27876
10,22,1.28619,327.114,6.11394,1.25373
10,22,1.30429,329.858,6.2639,1.32264
10,22,1.26743,327.61,6.24721,1.33064
10,22,1.3364,329.998,6.24534,1.26676
10,22,1.28395,325.448,6.28561,1.29304
10,22,1.29484,328.523,6.10874,1.25296
10,22,1.27712,326.646,6.33899,1.39182
12,33,4.45639,610.922,13.0377,3.91702
12,33,4.25369,609.834,13.2955,3.90763
12,33,4.07089,611.216,12.7649,3.77433
12,33,4.21433,610.617,12.697,3.67299
12,33,4.12996,645.898,12.6663,3.64072
12,33,4.1662,607.411,12.7547,3.73944
12,33,4.06918,603.133,12.9192,3.73067
12,33,4.21082,600.772,13.0991,3.86606
12,33,4.3334,603.864,13.2242,3.64899
12,33,4.31515,604.521,12.7923,3.67821
12,33,3.56197,614.988,11.122,4.28811
12,33,3.3282,605.825,11.3847,4.34215
12,33,3.32399,610.338,11.3514,4.36657
12,33,3.50476,602.767,11.1138,4.27074
12,33,3.28637,621.874,11.1484,4.02574
12,33,3.33114,615.643,11.1027,4.34907
12,33,3.34254,611.411,11.2262,4.3642
12,33,3.34991,708.369,11.1052,4.32452
12,33,3.35812,607.996,11.426,4.50961
12,33,4.35412,669.261,13.0078,5.8872
12,33,3.74495,678.223,11.0469,3.03896
12,33,2.93276,682.58,11.0668,2.9759
12,33,3.01706,616.617,12.3685,4.795
12,33,3.4608,675.679,11.7203,3.47332
12,33,3.23633,662.719,10.9789,3.02176
12,33,3.10675,1168.93,26.1142,5.27079
12,33,18.5488,1983.38,25.6481,7.81077
12,33,12.3922,1661.48,21.0622,9.56815
12,33,30.7907,1941.29,29.3449,7.37552
12,33,18.684,2193.11,22.5131,10.1399
12,33,16.6807,2168.23,28.098,7.50302
12,33,15.8292,1847.33,28.5706,7.81703
12,33,16.4614,1942.96,23.7467,14.6235
12,33,14.9247,1802.18,30.5248,6.53677
12,33,14.1418,1783.55,31.1879,15.5364
12,33,15.3961,2037.24,30.9023,16.1242
12,33,16.2529,2118.61,32.4639,12.4853
12,33,14.8574,2072.56,31.504,17.3401
12,33,16.1231,1945.92,27.1581,12.8855
12,33,14.6824,1785.62,30.3083,5.17467
12,33,7.9043,1725.8,21.3078,3.66382
12,33,6.98978,1855.34,18.2598,12.1102
12,33,5.68658,1858.59,20.7379,4.76763
12,33,13.0431,1802.93,18.9922,12.389
12,33,2.78458,1805.9,20.5502,6.63018
12,33,2.65166,1847.4,22.482,7.59486
12,33,2.71817,1780.8,21.8214,10.281
12,33,2.9993,1759.81,21.7387,4.15622
12,33,12.9148,1784.02,18.9415,10.2604
