n,m,bf,fw,dp,df
10,9,1.18367,304.45,3.20622,0.833549
10,9,0.912769,294.054,3.18723,0.862951
10,9,0.909596,296.881,3.18453,0.837909
10,9,0.910409,315.534,3.36785,0.936915
10,9,0.972004,298.791,3.17134,0.866121
10,9,0.912617,298.473,3.28829,0.877013
10,9,0.94969,293.239,3.19817,0.835303
10,9,0.96895,295.282,3.20526,0.834793
10,9,0.908365,320.349,3.3654,0.944829
10,9,1.16084,314.749,3.93064,1.11147
10,9,1.1719,308.19,6.37827,1.07706
10,9,1.10352,327.109,7.84051,1.12418
10,9,1.0719,296.801,6.68827,1.19587
10,9,1.22941,301.987,6.36682,1.07511
10,9,1.07106,299.102,6.51693,1.11856
10,9,1.07073,283.459,5.93062,1.00152
10,9,1.00552,291.554,6.32854,1.07167
10,9,1.08652,288.969,6.06154,1.02717
10,9,1.03614,286.247,6.13195,1.02682
10,9,1.06506,296.586,6.33284,1.07603
10,9,0.54043,311.234,2.67686,0.405354
10,9,0.552163,277.979,2.79586,0.388201
10,9,0.517241,279.569,2.55073,0.379481
10,9,0.623237,276.76,2.68764,0.405423
10,9,0.554979,276.897,2.56569,0.387774
10,9,0.516441,275.16,2.57187,0.468193
10,9,0.526285,292.811,2.91316,0.492566
10,9,0.57871,276.383,2.61916,0.38766
10,9,0.51702,281.943,2.68443,0.396275
10,9,0.535861,280.166,2.63136,0.388318
10,9,1.10299,290.641,5.66997,1.08718
10,9,1.06413,289.296,5.78312,1.41296
10,9,1.64772,317.015,6.30901,1.14384
10,9,1.11336,291.68,5.61345,1.09226
10,9,1.07453,341.62,5.68973,1.11072
10,9,1.0887,301.334,5.58994,1.32638
10,9,1.23237,297.665,5.79243,1.13711
10,9,1.11671,365.093,5.85922,1.13613
10,9,1.11199,301.099,5.64896,1.11016
10,9,1.11098,338.687,5.82038,1.14974
10,9,0.91128,302.384,4.44436,0.767155
10,9,0.899487,307.689,4.547,0.783382
10,9,0.902187,291.235,4.50999,0.76679
10,9,0.884279,297.196,4.37676,0.751354
10,9,0.91282,293.287,4.37139,0.750963
10,9,0.898446,339.486,4.44872,0.783766
10,9,0.872025,294.886,4.54435,0.785821
10,9,0.90751,290.822,4.8029,0.799109
10,9,1.08492,297.224,4.47574,0.767648
10,9,0.887351,295.565,4.48534,0.767572
10,9,0.704833,287.357,4.21026,0.613839
10,9,0.722066,288.5,4.185,0.615259
10,9,0.712366,289.124,4.21592,0.622004
10,9,0.715342,287.34,4.1773,0.613696
10,9,0.71433,288.651,4.24137,0.614618
10,9,0.716155,286.974,4.19258,0.62413
10,9,0.70545,289.149,4.18559,0.615004
10,9,0.705329,287.502,4.18262,0.615146
10,9,0.72095,293.726,4.24141,0.628949
10,9,0.72232,287.743,4.21596,0.650879
10,9,0.404171,284.245,2.30777,0.344917
10,9,0.43206,277.598,2.30955,0.306023
10,9,0.402843,285.233,2.30768,0.306002
10,9,0.404318,284.645,2.30786,0.30613
10,9,0.406486,278.631,2.32504,0.305959
10,9,0.403844,278.691,2.27732,0.350088
10,9,0.405325,293.62,2.35543,0.306256
10,9,0.404244,285.204,2.30766,0.305952
10,9,0.402863,282.355,2.3088,0.305769
10,9,0.404449,331.879,2.80604,0.396849
10,9,0.961491,328.229,4.62603,0.82609
10,9,1.00605,300.073,4.18504,0.774238
10,9,0.961265,296.75,4.24545,0.760516
10,9,0.950024,303.763,4.25216,0.759208
10,9,0.964036,315.516,4.50548,0.781428
10,9,0.953278,344.856,4.26265,0.769947
10,9,0.94658,304.099,4.24633,0.747042
10,9,0.92457,312.881,4.3184,0.765929
10,9,0.947238,294.297,4.18111,0.743799
10,9,0.92662,306.357,4.24343,0.760956
10,9,0.741739,349.023,4.90432,0.72324
10,9,0.741739,290.789,4.78291,0.7035
10,9,0.724436,291.015,5.12487,0.730482
10,9,0.741345,299.002,4.97462,0.919048
10,9,1.09829,308.083,4.92743,0.745515
10,9,0.749776,300.519,4.89491,0.728731
10,9,0.768872,300.791,4.92712,0.726726
10,9,0.747533,297.899,4.92546,0.730977
10,9,0.761284,337.519,4.95622,0.72558
10,9,0.757352,297.191,4.90093,0.728234
10,9,0.781717,379.977,4.91525,0.698665
10,9,0.768523,331.161,4.81416,0.71493
10,9,0.795019,352.981,5.55616,0.757477
10,9,0.810735,361.873,4.82051,0.704639
10,9,0.911966,321.93,4.7531,0.703335
10,9,0.787833,331.195,4.76378,0.701838
10,9,0.766345,327.529,6.23869,1.41378
10,9,0.811001,308.24,4.75443,0.701536
10,9,0.772201,320.06,4.75169,0.702186
10,9,0.766693,353.263,4.77813,0.719741
12,11,2.51427,566.747,7.79894,1.81072
12,11,2.01902,609.104,8.08957,1.99583
12,11,2.08523,583.347,8.14154,2.00347
12,11,2.14357,590.511,8.29832,2.03682
12,11,2.22626,590.583,8.12591,1.99735
12,11,2.06343,588.606,8.15796,1.96476
12,11,2.03516,583.025,7.97698,2.09159
12,11,2.10649,585.496,8.1105,1.95288
12,11,2.49031,585.903,8.03849,1.99929
12,11,2.1347,585.766,7.97012,1.97722
12,11,1.21239,585.784,7.24558,0.996743
12,11,1.20107,574.632,7.00407,0.961059
12,11,1.2056,573.919,7.07113,0.946574
12,11,1.18713,578.392,7.12176,1.00866
12,11,1.21054,573.177,7.05136,1.03028
12,11,1.23432,574.543,7.03038,0.962556
12,11,1.21798,575.956,7.10487,1.1475
12,11,1.19399,576.435,7.06993,0.953945
12,11,1.18898,573.756,7.03782,0.947407
12,11,1.205,578.25,7.09239,0.974061
12,11,0.950878,622.793,4.78219,0.977492
12,11,0.958814,571.924,4.77438,1.01999
12,11,0.937068,575.729,4.85466,0.991373
12,11,0.92942,574.227,4.78827,0.982994
12,11,0.932037,568.786,4.84701,0.985307
12,11,0.966233,571.593,4.80863,0.987876
12,11,0.989,577.861,4.81311,0.993815
12,11,0.96528,579.538,4.87558,0.984742
12,11,0.931087,588.991,4.76307,0.985228
12,11,0.93483,578.072,4.75605,0.983963
12,11,1.08501,591.006,4.42533,0.825485
12,11,1.02243,582.839,4.31388,0.770219
12,11,1.02115,583.616,4.29562,0.773498
12,11,1.08265,583.515,4.96984,1.06479
12,11,1.41778,661.963,4.31432,0.772734
12,11,1.02194,582.74,4.31553,0.803883
12,11,1.04806,718.075,4.97986,1.38521
12,11,1.16149,616.137,4.61502,1.04071
12,11,1.05614,646.345,4.37837,0.791642
12,11,1.03245,607.875,4.32873,0.773967
12,11,1.51526,683.073,8.02013,1.33146
12,11,1.4861,641.021,7.89358,1.26847
12,11,1.44978,1369.4,11.4565,1.90065
12,11,3.57676,1962.43,11.0353,4.93469
12,11,1.89449,1688.53,11.5106,1.65168
12,11,1.67725,2035.66,14.756,2.69252
12,11,1.52147,2166.36,14.561,1.47085
12,11,1.7332,2114.2,12.0208,1.46383
12,11,1.8524,1803.12,13.6975,1.33803
12,11,1.58961,1930.78,13.2584,1.29181
12,11,0.935596,1768.34,12.8978,1.28149
12,11,0.971949,1735.89,13.1109,1.3633
12,11,0.975224,1985.26,13.0256,1.21969
12,11,1.24691,2090.36,9.14111,2.09742
12,11,3.02859,2063.86,10.343,1.2644
12,11,1.25831,1951.92,12.079,1.1644
12,11,1.11195,1753.35,12.8013,1.00467
12,11,0.928858,1714.36,11.0265,2.03378
12,11,1.49008,1798.36,8.02392,4.45271
12,11,1.03638,1821.44,10.9535,1.78352
12,11,1.26004,1800.02,6.3754,1.79223
12,11,1.36264,1795.12,10.1452,2.15781
12,11,1.25397,1850.51,9.19286,2.12993
12,11,1.10369,1741.73,11.6697,1.09571
12,11,0.950051,1769.69,11.9965,1.00492
12,11,0.891679,1759.07,8.08454,0.904966
12,11,0.873776,1816.92,8.97903,1.32075
12,11,1.21013,1916.63,5.81168,1.38644
12,11,3.14004,1907.28,9.81986,1.03546
12,11,0.975444,2213.57,9.71942,0.971539
12,11,1.05302,2179.41,9.82029,1.3361
12,11,1.19911,2146.61,7.5712,1.31918
12,11,1.78064,2128.13,8.30169,3.01827
12,11,1.35628,2102.26,8.34416,3.14644
12,11,1.79045,2125.55,10.2674,2.15791
12,11,1.31664,2067.86,9.55975,1.27263
12,11,1.17455,2086.21,7.13178,2.10277
12,11,1.9247,2149.18,8.38988,1.49556
12,11,1.69433,2192.01,10.0198,2.32018
12,11,1.85178,2189.74,9.95943,2.59577
12,11,2.43644,2059.44,10.3378,5.65067
12,11,1.99271,2033.57,10.9427,4.5643
12,11,2.1161,1973.82,15.0997,1.96917
12,11,1.51187,2435.91,12.5947,2.03961
