n,m,bf,fw,dp,df
10,9,0.336839,290.671,5.81568,0.236087
10,9,0.337956,281.867,5.66567,0.235314
10,9,0.359465,281.934,6.0356,0.248115
10,9,0.347025,282.84,6.28779,0.355912
10,9,0.397109,286.56,5.74251,0.235492
10,9,0.358627,280.382,5.9252,0.250393
10,9,0.34207,282.32,5.9194,0.250703
10,9,0.345242,286.088,5.93041,0.246885
10,9,0.347317,284.489,5.92758,0.24805
10,9,0.343702,282.796,5.69584,0.239703
10,9,0.259895,276.122,4.77336,0.287634
10,9,0.305855,283.955,4.68418,0.282595
10,9,0.295808,268.753,4.61243,0.276378
10,9,0.298392,279.259,4.78399,0.28913
10,9,0.270798,270.897,4.90781,0.299311
10,9,0.275539,277.744,4.6742,0.282844
10,9,0.265605,288.475,4.79826,0.289805
10,9,0.271635,270.276,4.61403,0.275889
10,9,0.318319,268.591,4.59708,0.276029
10,9,0.288519,279.566,4.61363,0.278103
10,9,0.480784,277.776,8.41635,0.333568
10,9,0.518305,281.854,8.42197,0.333711
10,9,0.518913,277.568,9.58755,0.334562
10,9,0.549575,283.675,8.57782,0.341664
10,9,0.491656,287.002,8.75802,0.349735
10,9,0.502508,280.673,8.50701,0.333522
10,9,0.539202,318.5,9.35595,0.348961
10,9,0.502719,330.224,9.00728,0.387129
10,9,0.543628,316.527,8.7763,0.351424
10,9,0.534121,283.39,8.52714,0.333376
10,9,0.286959,274.286,6.17234,0.307606
10,9,0.329223,274.978,6.17231,0.301878
10,9,0.293595,277.446,6.10146,0.295693
10,9,0.321572,269.346,6.07622,0.295287
10,9,0.352046,351.145,6.76257,0.357613
10,9,0.449105,314.481,6.2084,0.299859
10,9,0.416603,282.759,6.15508,0.296626
10,9,0.322601,276.073,6.2347,0.301617
10,9,0.294093,277.522,6.33484,0.311886
10,9,0.300654,274.17,6.09748,0.295179
10,9,0.315427,287.153,3.6683,0.243327
10,9,0.326938,275.383,3.83329,0.23838
10,9,0.362164,274.276,3.57328,0.240377
10,9,0.352957,273.508,3.57121,0.238534
10,9,0.345756,275.221,3.62802,0.243978
10,9,0.326561,282.39,3.61536,0.244284
10,9,0.326411,280.368,4.11378,0.239295
10,9,0.345557,271.976,3.56934,0.238794
10,9,0.35105,273.546,3.57127,0.238313
10,9,0.351655,276.719,3.53279,0.271963
10,9,0.464928,275.499,9.64858,0.336857
10,9,0.495588,274.808,10.4469,0.388468
10,9,0.495382,275.835,9.67805,0.348513
10,9,0.501611,278.086,9.73334,0.350547
10,9,0.505453,275.155,9.7244,0.348448
10,9,0.503864,275.259,9.73506,0.348799
10,9,0.50384,282.14,9.65366,0.347449
10,9,0.500074,276.298,9.9024,0.350132
10,9,0.503367,279.012,9.70543,0.348017
10,9,0.503436,275.725,9.78594,0.346678
10,9,0.687332,280.275,12.4798,0.495022
10,9,0.676709,279.842,12.4723,0.496708
10,9,0.678056,280.007,12.545,0.504452
10,9,0.678289,286.432,12.4392,0.506938
10,9,0.678593,279.518,12.4059,0.497607
10,9,0.67833,278.555,12.403,0.503574
10,9,0.677633,284.142,12.921,0.523745
10,9,0.650194,281.176,12.4642,0.496651
10,9,0.676887,280.706,12.6003,0.505134
10,9,0.668925,280.211,12.5867,0.508134
10,9,0.276318,269.876,4.97781,0.211287
10,9,0.270125,269.024,4.40695,0.177761
10,9,0.256539,270.418,4.39919,0.176439
10,9,0.25796,271.518,4.39503,0.179188
10,9,0.259753,269.633,4.40507,0.176641
10,9,0.26018,273.233,4.39328,0.178852
10,9,0.255921,271.073,4.44773,0.177545
10,9,0.259483,272.152,4.57508,0.177376
10,9,0.254912,269.886,4.40965,0.178132
10,9,0.260359,271.073,4.4189,0.182282
10,9,0.465047,280.226,12.638,0.292734
10,9,0.498978,280.488,12.6135,0.294435
10,9,0.496497,279.341,12.6743,0.293282
10,9,0.501414,282.009,13.011,0.293103
10,9,0.501598,283.033,12.6339,0.292582
10,9,0.494527,279.502,12.703,0.292748
10,9,0.494687,278.023,13.4133,0.293262
10,9,0.535392,278.537,13.3404,0.44033
10,9,0.561164,278.804,12.7469,0.292638
10,9,0.499059,279.95,12.6092,0.293405
10,9,0.302306,273.932,7.73657,0.263601
10,9,0.335839,272.621,7.5578,0.256915
10,9,0.332828,272.01,7.60402,0.257655
10,9,0.33217,271.585,7.51989,0.261187
10,9,0.331673,272.419,7.50307,0.257557
10,9,0.335921,272.444,7.49461,0.25663
10,9,0.331913,272.236,7.55551,0.257949
10,9,0.331088,272.275,8.07135,0.25716
10,9,0.344223,272.347,7.49219,0.257523
10,9,0.366867,272.158,7.49297,0.258806
