n,m,bf,fw,dp,df
10,9,2.51785,329.177,8.67195,2.50842
10,9,2.42152,323.589,8.68095,2.49683
10,9,2.38097,321.445,8.66844,2.47921
10,9,2.50724,316.459,8.81819,2.54605
10,9,2.41346,347.828,8.68404,2.44857
10,9,2.40836,319.255,13.7327,3.29083
10,9,9.67397,379.396,9.56537,2.74459
10,9,3.07137,340.816,8.75549,2.45472
10,9,2.38122,397.002,8.72285,2.4674
10,9,2.50163,331.967,8.69476,2.44627
10,9,2.6375,346.012,8.18507,2.77174
10,9,2.5853,335.72,8.2519,3.58126
10,9,2.79986,329.154,8.25454,2.71308
10,9,2.63475,314.781,8.20128,2.75825
10,9,2.64378,338.212,19.8399,13.306
10,9,3.05116,339.192,8.35569,3.33642
10,9,2.80586,316.46,8.35536,2.79186
10,9,2.65921,365.214,8.92778,3.25227
10,9,2.87667,332.983,10.5218,3.42153
10,9,2.90191,328.361,9.01954,3.05783
10,9,3.51163,329.08,6.46829,3.00713
10,9,3.48659,326.501,6.14359,2.8542
10,9,3.72597,331.433,6.25014,2.61989
10,9,3.40263,333.458,6.5118,2.8252
10,9,3.38237,328.646,6.22413,2.67014
10,9,3.33868,333.703,7.7831,2.73624
10,9,3.36951,329.164,6.22512,2.70307
10,9,3.50104,331.613,6.26836,2.72603
10,9,3.31454,326.576,6.61449,2.73733
10,9,3.35262,334.206,6.20276,2.73293
10,9,1.62011,328.787,6.67018,2.22649
10,9,1.65882,331.067,6.4028,2.16419
10,9,1.60895,341.637,6.76773,2.2221
10,9,1.68084,330.083,6.56702,2.21832
10,9,1.61492,333.294,6.6593,2.39473
10,9,1.70585,330.775,6.64849,2.23459
10,9,1.73866,332.432,6.51541,2.12517
10,9,1.60504,329.327,6.64949,2.20919
10,9,1.69409,332.977,6.5354,2.23857
10,9,1.60996,328.632,6.50546,2.57104
10,9,2.88381,329.448,6.546,1.99005
10,9,2.31519,331.312,6.51704,2.40726
10,9,2.49837,328.382,7.07124,2.42448
10,9,2.60661,328.095,6.64306,2.22954
10,9,2.51467,328.703,6.65549,2.1784
10,9,2.51446,326.685,6.56321,2.21472
10,9,2.57016,325.392,6.65951,2.29857
10,9,2.53733,324.683,6.74893,2.27102
10,9,2.61576,328.896,6.83104,2.27245
10,9,2.66291,324.563,6.81827,2.37782
10,9,2.21458,363.167,7.45582,3.09761
10,9,2.10477,326.376,7.30201,2.97465
10,9,2.13663,328.592,7.3507,2.97791
10,9,2.12771,328.552,7.27913,2.93866
10,9,2.06978,327.359,7.45027,3.04894
10,9,2.12434,323.569,7.35493,2.94904
10,9,2.09335,328.574,7.39243,2.94963
10,9,2.0859,324.813,7.40437,3.04393
10,9,2.37608,329.086,7.39896,3.09598
10,9,2.01818,328.127,7.72056,3.23038
10,9,1.75059,346.645,6.63942,1.85453
10,9,1.67042,352.193,6.81168,1.94773
10,9,1.72451,338.235,6.72617,1.88365
10,9,1.69022,358.543,6.65251,1.82671
10,9,1.69569,339.988,7.04293,1.96253
10,9,1.74539,346.182,6.61802,1.80473
10,9,1.68589,340.832,6.83543,1.91467
10,9,1.70781,348.465,6.66058,1.87914
10,9,1.72869,351.95,6.69341,1.89914
10,9,1.68951,347.076,7.1457,1.94713
10,9,2.25328,323.811,7.89926,3.11417
10,9,2.73776,327.592,8.1605,3.30584
10,9,2.10572,326.824,8.00218,3.15162
10,9,2.02625,422.812,8.33495,3.16955
10,9,1.95667,321.738,8.03727,3.39169
10,9,2.02037,328.012,7.80488,3.32087
10,9,2.22315,323.391,8.01063,3.13858
10,9,1.91424,388.885,9.0789,3.63263
10,9,2.65935,386.435,8.45716,3.17982
10,9,2.1645,326.541,8.9772,3.86126
10,9,2.57508,385.794,5.69521,2.35505
10,9,2.70701,352.554,6.1474,2.89195
10,9,2.28818,333.692,5.66701,2.19141
10,9,2.35014,358.64,5.86075,2.40667
10,9,3.56336,394.487,5.83312,2.49819
10,9,2.43602,392.609,5.70707,2.19703
10,9,2.65026,359.2,6.8105,2.25273
10,9,2.34775,413.872,11.895,3.17291
10,9,2.59132,1133.51,16.4815,6.24405
10,9,11.8414,1179.85,13.7906,4.18163
10,9,10.4307,1120.94,16.721,13.2639
10,9,2.03716,816.864,16.779,12.35
10,9,2.40312,1232.27,17.0268,10.6927
10,9,3.45579,1057.17,17.8308,12.6524
10,9,2.74537,1299.28,19.5121,11.6988
10,9,2.0491,1230.99,18.5807,14.8528
10,9,2.13072,1331.02,16.9034,8.07384
10,9,6.80894,1103.87,16.7789,14.1374
10,9,1.88418,981.9,17.0744,11.8191
10,9,3.79754,1166.27,18.0586,12.1139
12,11,16.3183,1835.06,18.7666,13.7962
12,11,13.4465,1780.53,20.759,3.58221
12,11,15.3983,1884.43,25.7088,7.73017
12,11,13.7258,2144.48,21.0924,10.5844
12,11,8.77895,2101.01,22.8328,9.68938
12,11,11.7224,2063.51,19.384,4.49171
12,11,15.6575,1797.36,19.3446,3.02414
12,11,14.095,1769.95,20.9176,8.751
12,11,6.77986,1815.59,20.3178,5.14975
12,11,13.9757,1869.32,18.9796,12.7083
12,11,15.0532,1820.46,28.4631,11.7431
12,11,8.09718,1825.48,25.0156,14.6487
